# Title : Profile directory file of the Boundary Currents Monitor
# Description : The directory file describes all individual profile files of the argo GDAC ftp site for one Boundary Current system (West. Med.)
# Project : ARGO, EARISE, BC-monitor
# Format version : 2.0
# Date of update : 20250214060552
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : -
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
coriolis/2903795/profiles/R2903795_268.nc,20250208154730,39.171,2.157,A,844,IF,20250208163222
coriolis/2903795/profiles/R2903795_269.nc,20250213173430,39.189,2.103,A,844,IF,20250213183444
coriolis/3902614/profiles/R3902614_018.nc,20250204101720,38.101,0.631,A,844,IF,20250204112632
coriolis/3902614/profiles/R3902614_019.nc,20250209085320,38.019,0.476,A,844,IF,20250209092532
coriolis/4903818/profiles/R4903818_022.nc,20250205234730,36.721,0.409,A,844,IF,20250206012539
coriolis/4903818/profiles/R4903818_023.nc,20250211014420,36.722,0.38,A,844,IF,20250211022810
coriolis/4903829/profiles/R4903829_017.nc,20250205175720,38.893,2.722,A,844,IF,20250205182718
coriolis/4903829/profiles/R4903829_018.nc,20250210233520,38.925,2.681,A,844,IF,20250211002936
coriolis/5906990/profiles/R5906990_096.nc,20250213104400,38.947,3.319,A,836,IF,20250213115757
coriolis/6902877/profiles/R6902877_116.nc,20250205230830,40.805,3.531,A,841,IF,20250206003633
coriolis/6902877/profiles/R6902877_117.nc,20250210181500,40.776,3.75,A,841,IF,20250210192912
coriolis/6903016/profiles/R6903016_409.nc,20250207034530,37.092,-0.893,A,844,IF,20250207044413
coriolis/6903016/profiles/R6903016_410.nc,20250212090030,37.069,-0.94,A,844,IF,20250212092941
coriolis/6903018/profiles/R6903018_354.nc,20250206105430,36.971,4.389,A,844,IF,20250206113325
coriolis/6903018/profiles/R6903018_355.nc,20250211060430,36.964,4.461,A,844,IF,20250211072733
coriolis/6903019/profiles/R6903019_383.nc,20250207110830,37.566,-0.016,A,844,IF,20250207122734
coriolis/6903019/profiles/R6903019_384.nc,20250212061530,37.593,0.041,A,844,IF,20250212072913
coriolis/6903064/profiles/R6903064_260.nc,20250208001530,39.432,4.61,A,844,IF,20250208013113
coriolis/6903064/profiles/R6903064_261.nc,20250213094730,39.275,4.656,A,844,IF,20250213103941
coriolis/6903133/profiles/R6903133_230.nc,20250204153130,40.186,4.357,A,844,IF,20250204162821
coriolis/6903780/profiles/R6903780_356.nc,20250204215720,40.105,4.95,A,844,IF,20250204223225
coriolis/6903780/profiles/R6903780_357.nc,20250209234620,40.103,4.861,A,844,IF,20250210002751
coriolis/6903787/profiles/R6903787_311.nc,20250204131820,40.095,2.644,A,844,IF,20250204143151
coriolis/6903787/profiles/R6903787_312.nc,20250209235720,40.006,2.618,A,844,IF,20250210003202
coriolis/6903817/profiles/R6903817_355.nc,20250206102720,39.811,1.834,A,844,IF,20250206112913
coriolis/6903817/profiles/R6903817_356.nc,20250212055420,39.886,1.949,A,844,IF,20250212063841
